year,country,accidents,train_km,country_name,year_centered,accidents_per_million_train_km,country_id
2024,SI,4.0,22.22,Slovenia,7,0.18001800180018002,26
2010,SK,85.0,47.5,Slovakia,-7,1.7894736842105263,27
2011,SK,84.0,45.4,Slovakia,-6,1.8502202643171808,27
2012,SK,96.0,46.3,Slovakia,-5,2.0734341252699786,27
2013,SK,94.0,46.8,Slovakia,-4,2.0085470085470085,27
2014,SK,113.0,47.0,Slovakia,-3,2.404255319148936,27
2015,SK,87.0,50.4,Slovakia,-2,1.7261904761904763,27
2016,SK,60.0,50.8,Slovakia,-1,1.1811023622047245,27
2017,SK,65.0,51.6,Slovakia,0,1.2596899224806202,27
2018,SK,63.0,52.8,Slovakia,1,1.1931818181818183,27
2019,SK,62.0,53.3,Slovakia,2,1.1632270168855536,27
2020,SK,52.0,49.1,Slovakia,3,1.0590631364562118,27
2021,SK,56.0,50.9,Slovakia,4,1.100196463654224,27
2022,SK,52.0,52.8,Slovakia,5,0.9848484848484849,27
2023,SK,65.0,54.0,Slovakia,6,1.2037037037037037,27
2024,SK,61.0,53.55800000000001,Slovakia,7,1.1389521640091114,27
